20250115	12:42:59	27ef15a7-0721-4d79-9133-7083ccb871f9	/	GET
20250115	12:42:59	9ebe47e9-9c6a-4c77-9bc5-b3b23dad26cb	/css/style.css	GET
20250115	12:42:59	f0e6ad2c-6e4f-4fe4-8dbc-a86d240d265e	/favicon.ico	GET
20250115	12:43:05	2766b534-67ec-490b-b0db-2d7764253851	/home	GET
20250115	12:43:05	c579ade5-2543-4f60-ab46-d423bc4259a1	/css/style.css	GET
29012025	15:50:42	f4d03848-ea54-4ea6-94bb-bc289771cfd3	POST	undefined	 /register
29012025	15:51:06	db190988-c74e-470c-9ff9-5351f852f924	POST	undefined	 /register
29012025	15:51:14	4b5c9eea-e643-44db-8c37-9b0df4c62312	POST	undefined	 /register
29012025	15:51:15	3569efb8-ddb1-4f21-be2b-f4286329875b	POST	undefined	 /register
29012025	15:53:16	711e7ec7-3ee9-4c25-971c-bd93a9209228	POST	undefined	 /register
29012025	15:53:32	296dacc4-3831-428e-9ff7-0e99c57387f7	POST	undefined	 /register
29012025	15:53:41	56f60e72-7d8b-43b9-bbe3-68a4a3ab1202	POST	undefined	 /register
29012025	15:55:38	573cf863-baea-4c54-a28c-68cc5d415a6a	GET	undefined	 /register
29012025	15:56:10	0fe39a6c-df9e-4058-bde6-502d857173c1	POST	undefined	 /register
29012025	15:57:10	c125ed82-bab9-44cf-88e9-c5ebc68d773f	POST	undefined	 /register
29012025	16:01:32	dc0f86fa-d224-4847-8e50-231d0470a854	POST	undefined	 /register
29012025	16:01:42	6ce2a6ad-39a4-4a64-9270-5f3c26816dc8	POST	undefined	 /register
29012025	16:26:40	7fbe5798-90df-4188-950f-cadc67cd1155	POST	undefined	 /register
29012025	16:30:03	ce7788fe-0268-4713-95da-a81647f7a19b	POST	undefined	 /login
29012025	16:33:45	3f67fe3b-356e-4b58-a612-33bd272b10e0	POST	undefined	 /login
29012025	16:34:44	a3b10d95-24de-4baa-b5c8-bb3b35ab1631	POST	undefined	 /login
29012025	22:15:12	db7f26ee-18d6-436e-a423-b8daeb3bba39	POST	undefined	 /register
29012025	22:19:31	bcde7741-63db-483d-9dd4-67df94b41729	POST	undefined	 /register
29012025	22:22:35	6d2ced8b-4a73-4c72-943c-f6189835f0ee	POST	undefined	 /login
29012025	22:26:16	ebf88abd-0cfc-46ed-9763-75399c463224	POST	undefined	 /login
29012025	22:27:23	2a7eeb02-894c-41c0-94d2-b0255a829f77	GET	undefined	 /employees
29012025	22:27:55	11ddc54c-a38a-4548-9fff-9f49803320a1	POST	undefined	 /login
29012025	22:29:07	42357d4c-ba2b-4a4d-b5c7-c7b5c82609fd	POST	undefined	 /login
29012025	22:30:23	c5a10157-6025-4845-a115-61f17bf6b9db	POST	undefined	 /login
29012025	22:30:40	43e6252c-0aca-423a-9e8a-8214afd0df6a	GET	undefined	 /employees
29012025	22:32:09	ed8c8692-76ce-4b76-a456-107ddba4fb7b	POST	undefined	 /login
29012025	22:32:18	07858532-da48-42d1-b202-82600f126c35	GET	undefined	 /employees
29012025	22:45:29	536e2cd1-e73b-452c-86ad-9186e19d65a9	GET	undefined	 /employees/3
29012025	22:45:36	61b8a531-88a5-4d93-b85d-7079d9fea585	GET	undefined	 /employees/2
29012025	22:46:26	6d12ed9f-62c1-4548-a509-4ab03fb18ded	GET	undefined	 /employees/65
29012025	22:46:34	8a4ce9fe-f6bb-4240-99fb-dd7135421aa9	GET	undefined	 /employees/1
29012025	22:46:43	ed6316fb-aedf-48ca-81d1-3f24f84e47fa	POST	undefined	 /employees
29012025	22:46:54	6c77b0b9-f27f-4b7e-b869-57d3f7a055c6	GET	undefined	 /employees/4
